model,steering_mechanism,layer,alpha,n,ER_mean,ER_pct_0,ER_pct_1,ER_pct_2,delta_vs_unsteered,delta_vs_alpha0,EX_mean,EX_pct_0,EX_pct_1,EX_pct_2,IP_mean,IP_pct_0,IP_pct_1,IP_pct_2
llama31,EX,23,1.0,200,,,,,0.3199999999999999,0.3199999999999999,0.47,0.765,0.0,0.235,,,,
llama31,EX,23,2.0,200,,,,,0.97,0.97,1.12,0.44,0.0,0.56,,,,
llama31,EX,27,-1.0,200,,,,,-0.06,-0.06,0.09,0.955,0.0,0.045,,,,
llama31,EX,27,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,27,1.0,200,,,,,0.31,0.31,0.46,0.77,0.0,0.23,,,,
llama31,EX,27,2.0,200,,,,,0.92,0.92,1.07,0.465,0.0,0.535,,,,
llama31,EX,31,-1.0,200,,,,,-0.09,-0.09,0.06,0.97,0.0,0.03,,,,
llama31,EX,31,0.0,200,,,,,0.0,0.0,0.15,0.925,0.0,0.075,,,,
llama31,EX,31,1.0,200,,,,,0.76,0.76,0.91,0.545,0.0,0.455,,,,
llama31,EX,31,2.0,200,,,,,0.3199999999999999,0.3199999999999999,0.47,0.765,0.0,0.235,,,,
qwen25,EX,3,-1.0,200,,,,,0.19,0.19,0.51,0.745,0.0,0.255,,,,
qwen25,EX,3,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,3,1.0,200,,,,,-0.08,-0.08,0.24,0.88,0.0,0.12,,,,
qwen25,EX,3,2.0,200,,,,,-0.03,-0.03,0.29,0.855,0.0,0.145,,,,
qwen25,EX,7,-1.0,200,,,,,0.3,0.3,0.62,0.69,0.0,0.31,,,,
qwen25,EX,7,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,7,1.0,200,,,,,-0.01,-0.01,0.31,0.845,0.0,0.155,,,,
qwen25,EX,7,2.0,200,,,,,0.0399999999999999,0.0399999999999999,0.36,0.82,0.0,0.18,,,,
qwen25,EX,11,-1.0,200,,,,,0.2499999999999999,0.2499999999999999,0.57,0.715,0.0,0.285,,,,
qwen25,EX,11,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,11,1.0,200,,,,,0.07,0.07,0.39,0.805,0.0,0.195,,,,
qwen25,EX,11,2.0,200,,,,,0.48,0.48,0.8,0.6,0.0,0.4,,,,
qwen25,EX,15,-1.0,200,,,,,-0.02,-0.02,0.3,0.85,0.0,0.15,,,,
qwen25,EX,15,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,15,1.0,200,,,,,0.12,0.12,0.44,0.78,0.0,0.22,,,,
qwen25,EX,15,2.0,200,,,,,0.35,0.35,0.67,0.665,0.0,0.335,,,,
qwen25,EX,19,-1.0,200,,,,,0.08,0.08,0.4,0.8,0.0,0.2,,,,
qwen25,EX,19,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,19,1.0,200,,,,,0.0499999999999999,0.0499999999999999,0.37,0.815,0.0,0.185,,,,
qwen25,EX,19,2.0,200,,,,,0.2,0.2,0.52,0.74,0.0,0.26,,,,
qwen25,EX,23,-1.0,200,,,,,-0.09,-0.09,0.23,0.885,0.0,0.115,,,,
qwen25,EX,23,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,23,1.0,200,,,,,0.13,0.13,0.45,0.775,0.0,0.225,,,,
qwen25,EX,23,2.0,200,,,,,0.33,0.33,0.65,0.675,0.0,0.325,,,,
qwen25,EX,27,-1.0,200,,,,,-0.06,-0.06,0.26,0.87,0.0,0.13,,,,
qwen25,EX,27,0.0,200,,,,,0.0,0.0,0.32,0.84,0.0,0.16,,,,
qwen25,EX,27,1.0,200,,,,,0.07,0.07,0.39,0.805,0.0,0.195,,,,
qwen25,EX,27,2.0,200,,,,,0.08,0.08,0.4,0.8,0.0,0.2,,,,
mistral7b,EX,3,-1.0,200,,,,,0.0099999999999999,0.0099999999999999,0.03,0.985,0.0,0.015,,,,
mistral7b,EX,3,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,3,1.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,3,2.0,200,,,,,0.03,0.03,0.05,0.975,0.0,0.025,,,,
mistral7b,EX,7,-1.0,200,,,,,0.0099999999999999,0.0099999999999999,0.03,0.985,0.0,0.015,,,,
mistral7b,EX,7,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,7,1.0,200,,,,,0.0099999999999999,0.0099999999999999,0.03,0.985,0.0,0.015,,,,
mistral7b,EX,7,2.0,200,,,,,0.08,0.08,0.1,0.95,0.0,0.05,,,,
mistral7b,EX,11,-1.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,11,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,11,1.0,200,,,,,0.0399999999999999,0.0399999999999999,0.06,0.97,0.0,0.03,,,,
mistral7b,EX,11,2.0,200,,,,,0.37,0.37,0.39,0.805,0.0,0.195,,,,
mistral7b,EX,15,-1.0,200,,,,,-0.01,-0.01,0.01,0.995,0.0,0.005,,,,
mistral7b,EX,15,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,15,1.0,200,,,,,0.05,0.05,0.07,0.965,0.0,0.035,,,,
mistral7b,EX,15,2.0,200,,,,,0.6799999999999999,0.6799999999999999,0.7,0.65,0.0,0.35,,,,
mistral7b,EX,19,-1.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,19,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,19,1.0,200,,,,,0.05,0.05,0.07,0.965,0.0,0.035,,,,
mistral7b,EX,19,2.0,200,,,,,0.14,0.14,0.16,0.92,0.0,0.08,,,,
mistral7b,EX,23,-1.0,200,,,,,-0.01,-0.01,0.01,0.995,0.0,0.005,,,,
mistral7b,EX,23,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,23,1.0,200,,,,,0.05,0.05,0.07,0.965,0.0,0.035,,,,
mistral7b,EX,23,2.0,200,,,,,0.18,0.18,0.2,0.9,0.0,0.1,,,,
mistral7b,EX,27,-1.0,200,,,,,-0.01,-0.01,0.01,0.995,0.0,0.005,,,,
mistral7b,EX,27,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,27,1.0,200,,,,,0.05,0.05,0.07,0.965,0.0,0.035,,,,
mistral7b,EX,27,2.0,200,,,,,0.13,0.13,0.15,0.925,0.0,0.075,,,,
mistral7b,EX,31,-1.0,200,,,,,-0.02,-0.02,0.0,1.0,0.0,0.0,,,,
mistral7b,EX,31,0.0,200,,,,,0.0,0.0,0.02,0.99,0.0,0.01,,,,
mistral7b,EX,31,1.0,200,,,,,-0.02,-0.02,0.0,1.0,0.0,0.0,,,,
